NSTRANA;NAZEV_STRN;ZKRATKAN30;ZKRATKAN8
112;"HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST";"HN.ZA HARM.ROZVOJ OBCÍ A MĚST";"HNHRM"
113;"Volba pro město";"Volba pro město";"VPM"
114;"Hnutí pro Havířov";"Hnutí pro Havířov";"HPH"
119;"Unie pro sport a zdraví";"Unie pro sport a zdraví";"USZ"
121;"NÁRODNÍ PROSPERITA";"NÁRODNÍ PROSPERITA";"NP"
123;"České hnutí za národní jednotu";"České hnutí za národní jednotu";"ČHNJ"
129;"SNK Evropští demokraté";"SNK Evropští demokraté";"SNK ED"
132;"Aktiv nezávislých občanů";"Aktiv nezávislých občanů";"ANEO"
136;"Tábor 2020";"Tábor 2020";"T2020"
137;"ROZUMNÍ - stop migraci a diktátu EU-peníze občanům";"ROZUMNÍ-stop migraci,diktát.EU";"Rozumní"
140;"Balbínova poetická strana";"Balbínova poetická strana";"BPS"
141;"Konzervativní a sociální hnutí";"Konzervativní a sociální hnutí";"KSH"
142;"Strana Starostové za Ústecký kraj";"Str.Starostové za Ústecký kraj";"Starost. za ÚK"
143;"Spojení demokraté - Sdružení nezávislých";"Spojení demokraté-Sdruž.nezáv.";"SD-SN"
145;""Jirkov 21.století"";""Jirkov 21.století"";"J 21 S"
147;"MĚSTO LIDEM";"MĚSTO LIDEM";"ML"
148;""SONOB-sdružení ochrany nájemníků a ostat.bydlení"";""SONOB-sdruž.ochr.nájemníků"";"SONOB"
155;"Blok proti islamizaci - Obrana domova";"Blok proti islam.-Obran.domova";"BPI"
156;"Dělnická strana sociální spravedlnosti";"Dělnic.str.sociální spravedl.";"DSSS"
158;"Starostové a osobnosti pro Moravu";"Starostové a osobn. pro Moravu";"SOM"
159;"Strana státu přímé demokracie - Strana práce";"Str.státu přímé dem.-Str.práce";"SSPD-SP"
163;"NEZÁVISLÁ VOLBA";"NEZÁVISLÁ VOLBA";"NV"
164;"Evropská strana důstojného stáří";"Evropská str.důstojného stáří";"ESDS"
166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN"
167;"Fair play - HNPD";"Fair play - HNPD";"HNPD"
175;"Česká strana národně socialistická";"Česká str.národ.socialistická";"ČSNS2005"
176;"Strana občanské sebeobrany";"Strana občanské sebeobrany";"S.O.S.PRAHA"
179;"Sedma-strana pro obec Slatiňany a její osady";"Sedma-str.pro obec Slatiňany";"Sedma"
181;"Nestraníci";"Nestraníci";"Nestran."
182;"Karlovarská občanská alternativa";"Karlovar.občanská alternativa";"KOA"
183;"Alternativa pro občany";"Alternativa pro občany";"AO"
188;"SEMILÁCI";"SEMILÁCI";"PSS"
190;"Mimoňská obroda";"Mimoňská obroda";"OHMO"
193;"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"VpMB"
195;"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"HPP 11"
197;"NESPOKOJENÍ OBČANÉ!";"NESPOKOJENÍ OBČANÉ!";"NO!"
199;"Klíčové hnutí";"Klíčové hnutí";"KH"
701;"Doktoři (za uzdravení společnosti)";"Doktoři (za uzdravení společ.)";"Doktoři"
702;"ALTERNATIVA";"ALTERNATIVA";"ALTERNATIVA"
703;"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"SLK"
704;"Severočeši.cz";"Severočeši.cz";"S.cz"
711;"Lidé a Politika";"Lidé a Politika";"LAP"
714;"Strana svobodných občanů";"Strana svobodných občanů";"Svobodní"
715;"Demokratická strana zelených";"Demokratická strana zelených";"DSZ"
716;"Strana soukromníků České republiky";"Strana soukromníků ČR";"Soukromníci"
717;"ČESKÝ POLITICKÝ STŘED";"ČESKÝ POLITICKÝ STŘED";"ČPST"
720;"Česká pirátská strana";"Česká pirátská strana";"Piráti"
721;"TOP 09";"TOP 09";"TOP 09"
724;"Strana Práv Občanů";"Strana Práv Občanů";"SPO"
725;"Victoria.cz";"Victoria.cz";"Victoria"
726;"Nový Impuls";"Nový Impuls";"NI"
727;"VOLBA PRO KLADNO";"VOLBA PRO KLADNO";"VPK"
728;"Pro Třebíč";"Pro Třebíč";"ProTR"
731;"Ženy za Brod";"Ženy za Brod";"ŽB"
733;""Volím Orlovou"";""Volím Orlovou"";""VO""
734;"Občané městu, město občanům";"Občané městu, město občanům";"OMMO"
735;"Nezávislí pro Bílinu";"Nezávislí pro Bílinu";"N-BÍLINA"
736;"SDR.PRO REP.-REPUBLIKÁNSKÁ STR.ČECH,MORAVY,SLEZSKA";"SPR-REP.STR.ČECH,MORAVY,SLEZ.";"SPR-RSČMS"
738;"Jundrováci";"Jundrováci";"Jundrováci"
739;"Královopolští patrioti";"Královopolští patrioti";"KPP"
741;"Hnutí nezávislých za všestranný rozvoj Slatiny";"Hn.nez.za všestr.rozv.Slatiny";"HNVRS"
742;"Strakonická Veřejnost";"Strakonická Veřejnost";"SV"
743;"Hnutí O co jim jde?!";"Hnutí O co jim jde?!";"OCJJ"
745;"Bílinští sociální demokraté";"Bílinští sociální demokraté";"BSD"
747;"ProKraj";"ProKraj";"ProKraj"
749;"Konzervativní aliance 2014";"Konzervativní aliance 2014";"KA14"
750;"Desítka pro domácí";"Desítka pro domácí";"DPD"
752;"Zdravé Hradiště";"Zdravé Hradiště";"ZH"
753;"Občané pro Budějovice";"Občané pro Budějovice";"HOPB"
755;"Ostravak";"Ostravak";"Ostravak"
756;"Česká strana regionů";"Česká strana regionů";"ČSR"
757;"Sdružení nezávislých Holešovska";"Sdruž.nezávislých Holešovska";"SNH"
759;"Česká Suverenita";"Česká Suverenita";"ČS"
761;"NÁRODNÍ FRONTA";"NÁRODNÍ FRONTA";"NF"
762;"OBČANÉ 2011-SPRAVEDLNOST PRO LIDI";"OBČANÉ 2011-SPRAVEDL. PRO LIDI";"OBČANÉ 2011"
764;"Národní socialisté";"Národní socialisté";"NÁR.SOC."
766;"JIHOČEŠI 2012";"JIHOČEŠI 2012";"JIH 12"
767;"Strana rovných příležitostí";"Strana rovných příležitostí";"SRP"
768;"ANO 2011";"ANO 2011";"ANO"
769;"Řád národa - Vlastenecká Unie";"Řád národa - Vlastenecká Unie";"ŘN - VU"
770;"VÝCHODOČEŠI";"VÝCHODOČEŠI";"VČ"
771;"politické hnutí Změna";"politické hnutí Změna";"Změna"
772;"HOZK";"HOZK";"HOZK"
773;"Středočeši2012.cz";"Středočeši2012.cz";"S2012"
775;"ZVUK 12";"ZVUK 12";"ZVUK 12"
776;"PATRIOTI";"PATRIOTI";"PATRIOTI"
777;"Strana Češi";"Strana Češi";"Češi"
779;"Starostové pro občany";"Starostové pro občany";"STO"
780;"Nová budoucnost pro Liberecký kraj";"Nová budoucn.pro Liberecký kr.";"NBPLK"
782;"Hnutí FAIR PLAY";"Hnutí FAIR PLAY";"FairPlay"
785;"PRO Zdraví a Sport";"PRO Zdraví a Sport";"PRO ZS"
786;"Občanská sounáležitost";"Občanská sounáležitost";"OS"
787;"Sdružení nezávislých občanů Prahy";"Sdruž.nezáv.občanů Prahy";"SNOP"
788;"Občané České republiky";"Občané České republiky";"OČR"
790;"Pardubice pro lidi";"Pardubice pro lidi";"PPL"
791;"Pro Prahu";"Pro Prahu";"HPP"
792;"Úsvit - Národní Koalice";"Úsvit - Národní Koalice";"Úsvit"
793;"Nový směr";"Nový směr";"NOS"
794;"Romská demokratická strana";"Romská demokratická strana";"RDS"
795;"Liberálně ekologická strana";"Liberálně ekologická strana";"LES"
797;"Zlín 21";"Zlín 21";"Z21"
799;"Naše město F-M";"Naše město F-M";"NMFM"
997;"Navrhující poslanci";"Navrhující poslanci";"Poslanci"
998;"Navrhující senátoři";"Navrhující senátoři";"Senátoři"
999;"Navrhující občan";"Navrhující občan";"Občan"
1002;"Republika";"Republika";"Republika"
1003;"Alternativa pro Plzeň";"Alternativa pro Plzeň";"APPlzeň.cz"
1004;"Patrioti České republiky";"Patrioti České republiky";"Patrioti ČR"
1005;"evropani.cz";"evropani.cz";"evropani"
1006;"Občanská konzervativní strana";"Občanská konzervativní strana";"O.K. strana"
1009;"Jižní Město - náš domov";"Jižní Město - náš domov";"JM-ND"
1011;"Toryové";"Toryové";"TOR"
1012;"ÚSTECKÉ FÓRUM OBČANŮ";"ÚSTECKÉ FÓRUM OBČANŮ";"UFO"
1013;"Politické hnutí OBRODA";"Politické hnutí OBRODA";"Obroda"
1014;"Občané pro Lochotín";"Občané pro Lochotín";"OPL"
1016;"HRADEČTÍ PATRIOTI strana pro sport,zdraví,kulturu";"HRADEČTÍ PATRIOTI";"HRAD.PATRIOTI"
1017;"NOVÝ SEVER";"NOVÝ SEVER";"NS"
1018;"Politické Hnutí Vítkovice";"Politické Hnutí Vítkovice";"PHV"
1020;"Pévéčko";"Pévéčko";"PV"
1021;"Čisté Ústí";"Čisté Ústí";"ČÚNL"
1022;"Občané patrioti";"Občané patrioti";"OPAT"
1024;"Otevřená radnice";"Otevřená radnice";"Hora 2014"
1025;"Ta naše Třebíč";"Ta naše Třebíč";"TnT"
1026;""Žít Brno"";""Žít Brno"";"ŽTB"
1028;"Karlovaráci";"Karlovaráci";"KVC"
1029;"Frýdečané a Místečané";"Frýdečané a Místečané";"FraM"
1030;"Podpora občanů";"Podpora občanů";"Podpora"
1031;"Sdružení občanů Lesné";"Sdružení občanů Lesné";"SOL"
1036;"Město pro vás";"Město pro vás";"MPV"
1038;"Kozí alternativa";"Kozí alternativa";"KOZY"
1039;"ProOlomouc";"ProOlomouc";"ProOl"
1040;"JIŘÍ STROBACH - náš starosta";"JIŘÍ STROBACH - náš starosta";"JSNS"
1041;"Společ. proti develop. výstavbě v Prokop. údolí";"Společ.proti výst.v Prok.údolí";"SPDV"
1042;""Hnutí Praha-Kunratice"";""Hnutí Praha-Kunratice"";""HPK""
1043;"NEZÁVISLÍ PRO PRAHU 10 - HNUTÍ PRO LEPŠÍ DESÍTKU";"NEZ.PRO P10-HNUTÍ PRO LEPŠÍ 10";"NPP10-HPLD"
1045;"Veřejné zájmy";"Veřejné zájmy";"VZ"
1046;"OBČANÉ SPOLU - NEZÁVISLÍ";"OBČANÉ SPOLU - NEZÁVISLÍ";""OSN""
1047;"SPOLEHNUTÍ - SPOLEČNÉ HNUTÍ ČESKOLIPANŮ";"SPOLEHNUTÍ-SPOL.HN.ČESKOLIPANŮ";"SPOLEHNUTÍ"
1049;"Hradecký demokratický klub";"Hradecký demokratický klub";"HDK"
1052;"Alternativa pro Českou republiku 2017";"Alternativa pro Česk. rep.2017";"APAČI 2017"
1053;"Volyně v dolyně";"Volyně v dolyně";"VvD"
1055;"Šance pro Duchcov";"Šance pro Duchcov";"ŠpD"
1061;"DOMA";"DOMA";"DOMA"
1062;"Pro regiony občanům";"Pro regiony občanům";"Hnutí PROČ"
1063;"Moderní společnost";"Moderní společnost";"MODES"
1065;"PROZMĚNU";"PROZMĚNU";"PZ"
1111;"KOMUNISTICKÁ STRANA ČESKÁ 21";"KOMUNISTICKÁ STRANA ČESKÁ 21";"KSČ 21"
1112;"PRO občané";"PRO občané";"HPO"
1114;"Svoboda a přímá demokracie - Tomio Okamura (SPD)";"Svob.a př.dem.-T.Okamura (SPD)";"SPD"
1116;"Národ Sobě";"Národ Sobě";"NáS"
1117;"HNUTÍ OSOBNOSTÍ KRAJE";"HNUTÍ OSOBNOSTÍ KRAJE";"HOK"
1118;"VOK - Volba pro Karlovarský kraj";"VOK-Volba pro Karlovarský kraj";"VOK"
1119;"Agrární demokratická strana";"Agrární demokratická strana";"ADS"
1120;"Česká národní fronta";"Česká národní fronta";"ČNF"
1121;"Slušní lidé";"Slušní lidé";"SL"
1122;"PRO! Ústecký kraj";"PRO! Ústecký kraj";"PRO! ÚK"
1123;"Změna pro lidi";"Změna pro lidi";"ZpL"
1124;"KOMUNISTICKÁ STRANA ČECH, MORAVY A SLEZSKA";"KOMUN.STR.ČECH,MORAVY,SLEZSKA";"KSČMS"
1125;"Sdružení pro republiku-Republ.str.Českosl.M.Sládka";"SPR-Republ.str.Čsl. M.Sládka";"SPRRSČ M.Sládka"
1126;"JsmePRO! Kraj 2016";"JsmePRO! Kraj 2016";"JsmePRO!"
1127;"Dobrá volba 2016";"Dobrá volba 2016";"DV 2016"
1128;"Vaše Ústí";"Vaše Ústí";"VÚ"
1129;"Sdružení nezávislých kandidátů 1";"Sdružení nezávis. kandidátů 1";"SNK1"
1130;"Svoboda a síla";"Svoboda a síla";"SaS"
1131;"ALTERNATIVA PRO ČESKOU POLITIKU";"ALTERNATIVA PRO ČESK. POLITIKU";"A"
1132;"Alternativa pro Česko";"Alternativa pro Česko";"APČ"
1133;"JIHOČEŠTÍ HASIČI";"JIHOČEŠTÍ HASIČI";"JHas"
1134;"Politické hnutí PRO 2016";"Politické hnutí PRO 2016";"PRO2016"
1135;"NOVÁ GENERACE";"NOVÁ GENERACE";"NG"
1136;"OBČANÉ PRO OLOMOUCKÝ KRAJ - volba OK";"OBČ. PRO OLOMOUC.KRAJ-volba OK";"VOLK"
1143;"NEZÁVISLÍ KANDIDÁTI DO SENÁTU";"NEZÁVISLÍ KANDIDÁTI DO SENÁTU";"NSK"
1172;"Evolution-Mind";"Evolution-Mind";"EM"
1173;"Občanská demokratická aliance";"Občanská demokratická aliance";"ODA"
1174;"PLUS";"PLUS";"PLUS"
1175;"SeverníČechy.cz";"SeverníČechy.cz";"SČ.cz"
1176;"REALISTÉ";"REALISTÉ";"REAL"
1177;"CESTA ODPOVĚDNÉ SPOLEČNOSTI";"CESTA ODPOVĚDNÉ SPOLEČNOSTI";"CESTA"
1178;"Referendum o Evropské unii";"Referendum o Evropské unii";"Referendum o EU"
1179;"BEZPEČNOST, ODPOVĚDNOST, SOLIDARITA";"BEZPEČNOST,ODPOVĚDNOST,SOLID.";"BOS"
1180;"5 % pro vzdělávání";"5 % pro vzdělávání";"5 %"
1181;"Občané za spokojené bydlení";"Občané za spokojené bydlení";"OSB"
1182;"SPORTOVCI";"SPORTOVCI";"SPORTOVCI"
1183;"Unie Hrdosti,Aktivity,Vlastenectví,Emp.,Lidsk.2017";"Unie H.A.V.E.L.";"Unie H.A.V.E.L."
1184;"Radostné Česko";"Radostné Česko";"RČ"
1185;"Tak jo!";"Tak jo!";"TJ."
9995;"Koalice";"Koalice";"Koalice"
